step,tag,value,logdir
51,eval/Mean Reciprocal Rank,0.020149406045675278,shared=True_LF=0.99_LR=0.01
52,eval/Mean Reciprocal Rank,0.0203697606921196,shared=True_LF=0.99_LR=0.01
53,eval/Mean Reciprocal Rank,0.02063106931746006,shared=True_LF=0.99_LR=0.01
54,eval/Mean Reciprocal Rank,0.020812302827835083,shared=True_LF=0.99_LR=0.01
55,eval/Mean Reciprocal Rank,0.02114742435514927,shared=True_LF=0.99_LR=0.01
56,eval/Mean Reciprocal Rank,0.021495938301086426,shared=True_LF=0.99_LR=0.01
57,eval/Mean Reciprocal Rank,0.021691661328077316,shared=True_LF=0.99_LR=0.01
58,eval/Mean Reciprocal Rank,0.02191300131380558,shared=True_LF=0.99_LR=0.01
59,eval/Mean Reciprocal Rank,0.022166425362229347,shared=True_LF=0.99_LR=0.01
60,eval/Mean Reciprocal Rank,0.022653451189398766,shared=True_LF=0.99_LR=0.01
61,eval/Mean Reciprocal Rank,0.022941648960113525,shared=True_LF=0.99_LR=0.01
62,eval/Mean Reciprocal Rank,0.023960908874869347,shared=True_LF=0.99_LR=0.01
63,eval/Mean Reciprocal Rank,0.024570012465119362,shared=True_LF=0.99_LR=0.01
64,eval/Mean Reciprocal Rank,0.025009214878082275,shared=True_LF=0.99_LR=0.01
65,eval/Mean Reciprocal Rank,0.02555694803595543,shared=True_LF=0.99_LR=0.01
66,eval/Mean Reciprocal Rank,0.026145774871110916,shared=True_LF=0.99_LR=0.01
67,eval/Mean Reciprocal Rank,0.026980992406606674,shared=True_LF=0.99_LR=0.01
68,eval/Mean Reciprocal Rank,0.027310267090797424,shared=True_LF=0.99_LR=0.01
69,eval/Mean Reciprocal Rank,0.027604354545474052,shared=True_LF=0.99_LR=0.01
70,eval/Mean Reciprocal Rank,0.027746398001909256,shared=True_LF=0.99_LR=0.01
71,eval/Mean Reciprocal Rank,0.02820042334496975,shared=True_LF=0.99_LR=0.01
72,eval/Mean Reciprocal Rank,0.028152629733085632,shared=True_LF=0.99_LR=0.01
73,eval/Mean Reciprocal Rank,0.028247619047760963,shared=True_LF=0.99_LR=0.01
74,eval/Mean Reciprocal Rank,0.02841915749013424,shared=True_LF=0.99_LR=0.01
75,eval/Mean Reciprocal Rank,0.028330424800515175,shared=True_LF=0.99_LR=0.01
76,eval/Mean Reciprocal Rank,0.0285076554864645,shared=True_LF=0.99_LR=0.01
77,eval/Mean Reciprocal Rank,0.028802083805203438,shared=True_LF=0.99_LR=0.01
78,eval/Mean Reciprocal Rank,0.02900640293955803,shared=True_LF=0.99_LR=0.01
79,eval/Mean Reciprocal Rank,0.029199067503213882,shared=True_LF=0.99_LR=0.01
80,eval/Mean Reciprocal Rank,0.029350897297263145,shared=True_LF=0.99_LR=0.01
81,eval/Mean Reciprocal Rank,0.029588129371404648,shared=True_LF=0.99_LR=0.01
82,eval/Mean Reciprocal Rank,0.029987994581460953,shared=True_LF=0.99_LR=0.01
83,eval/Mean Reciprocal Rank,0.03108694963157177,shared=True_LF=0.99_LR=0.01
84,eval/Mean Reciprocal Rank,0.03121115267276764,shared=True_LF=0.99_LR=0.01
85,eval/Mean Reciprocal Rank,0.03166649863123894,shared=True_LF=0.99_LR=0.01
86,eval/Mean Reciprocal Rank,0.03187806159257889,shared=True_LF=0.99_LR=0.01
87,eval/Mean Reciprocal Rank,0.03184238448739052,shared=True_LF=0.99_LR=0.01
88,eval/Mean Reciprocal Rank,0.031956810504198074,shared=True_LF=0.99_LR=0.01
89,eval/Mean Reciprocal Rank,0.03197786211967468,shared=True_LF=0.99_LR=0.01
90,eval/Mean Reciprocal Rank,0.03204577788710594,shared=True_LF=0.99_LR=0.01
91,eval/Mean Reciprocal Rank,0.03193550556898117,shared=True_LF=0.99_LR=0.01
92,eval/Mean Reciprocal Rank,0.03215647488832474,shared=True_LF=0.99_LR=0.01
93,eval/Mean Reciprocal Rank,0.03216490149497986,shared=True_LF=0.99_LR=0.01
94,eval/Mean Reciprocal Rank,0.032228417694568634,shared=True_LF=0.99_LR=0.01
95,eval/Mean Reciprocal Rank,0.032455094158649445,shared=True_LF=0.99_LR=0.01
96,eval/Mean Reciprocal Rank,0.03238319978117943,shared=True_LF=0.99_LR=0.01
97,eval/Mean Reciprocal Rank,0.03233947232365608,shared=True_LF=0.99_LR=0.01
98,eval/Mean Reciprocal Rank,0.03273095190525055,shared=True_LF=0.99_LR=0.01
99,eval/Mean Reciprocal Rank,0.03280197083950043,shared=True_LF=0.99_LR=0.01
100,eval/Mean Reciprocal Rank,0.0330025739967823,shared=True_LF=0.99_LR=0.01
101,eval/Mean Reciprocal Rank,0.033188022673130035,shared=True_LF=0.99_LR=0.01
102,eval/Mean Reciprocal Rank,0.03338904306292534,shared=True_LF=0.99_LR=0.01
103,eval/Mean Reciprocal Rank,0.033358193933963776,shared=True_LF=0.99_LR=0.01
104,eval/Mean Reciprocal Rank,0.033193398267030716,shared=True_LF=0.99_LR=0.01
105,eval/Mean Reciprocal Rank,0.0331697016954422,shared=True_LF=0.99_LR=0.01
106,eval/Mean Reciprocal Rank,0.03327728807926178,shared=True_LF=0.99_LR=0.01
107,eval/Mean Reciprocal Rank,0.03314267843961716,shared=True_LF=0.99_LR=0.01
108,eval/Mean Reciprocal Rank,0.03325626999139786,shared=True_LF=0.99_LR=0.01
109,eval/Mean Reciprocal Rank,0.0334208607673645,shared=True_LF=0.99_LR=0.01
110,eval/Mean Reciprocal Rank,0.033839382231235504,shared=True_LF=0.99_LR=0.01
111,eval/Mean Reciprocal Rank,0.033948831260204315,shared=True_LF=0.99_LR=0.01
112,eval/Mean Reciprocal Rank,0.03408266603946686,shared=True_LF=0.99_LR=0.01
113,eval/Mean Reciprocal Rank,0.034197848290205,shared=True_LF=0.99_LR=0.01
114,eval/Mean Reciprocal Rank,0.034247297793626785,shared=True_LF=0.99_LR=0.01
115,eval/Mean Reciprocal Rank,0.03460085391998291,shared=True_LF=0.99_LR=0.01
116,eval/Mean Reciprocal Rank,0.03476408123970032,shared=True_LF=0.99_LR=0.01
117,eval/Mean Reciprocal Rank,0.03487757593393326,shared=True_LF=0.99_LR=0.01
118,eval/Mean Reciprocal Rank,0.035234853625297546,shared=True_LF=0.99_LR=0.01
119,eval/Mean Reciprocal Rank,0.035367920994758606,shared=True_LF=0.99_LR=0.01
120,eval/Mean Reciprocal Rank,0.035429149866104126,shared=True_LF=0.99_LR=0.01
121,eval/Mean Reciprocal Rank,0.03559868782758713,shared=True_LF=0.99_LR=0.01
122,eval/Mean Reciprocal Rank,0.035636525601148605,shared=True_LF=0.99_LR=0.01
123,eval/Mean Reciprocal Rank,0.035690948367118835,shared=True_LF=0.99_LR=0.01
124,eval/Mean Reciprocal Rank,0.03573674336075783,shared=True_LF=0.99_LR=0.01
125,eval/Mean Reciprocal Rank,0.036580827087163925,shared=True_LF=0.99_LR=0.01
126,eval/Mean Reciprocal Rank,0.0366324819624424,shared=True_LF=0.99_LR=0.01
127,eval/Mean Reciprocal Rank,0.036653079092502594,shared=True_LF=0.99_LR=0.01
128,eval/Mean Reciprocal Rank,0.036620620638132095,shared=True_LF=0.99_LR=0.01
129,eval/Mean Reciprocal Rank,0.03686309605836868,shared=True_LF=0.99_LR=0.01
130,eval/Mean Reciprocal Rank,0.03693145141005516,shared=True_LF=0.99_LR=0.01
131,eval/Mean Reciprocal Rank,0.036988209933042526,shared=True_LF=0.99_LR=0.01
132,eval/Mean Reciprocal Rank,0.037000708281993866,shared=True_LF=0.99_LR=0.01
133,eval/Mean Reciprocal Rank,0.03707834705710411,shared=True_LF=0.99_LR=0.01
134,eval/Mean Reciprocal Rank,0.03713752329349518,shared=True_LF=0.99_LR=0.01
135,eval/Mean Reciprocal Rank,0.037302542477846146,shared=True_LF=0.99_LR=0.01
136,eval/Mean Reciprocal Rank,0.03733221814036369,shared=True_LF=0.99_LR=0.01
137,eval/Mean Reciprocal Rank,0.03744155913591385,shared=True_LF=0.99_LR=0.01
138,eval/Mean Reciprocal Rank,0.03734411299228668,shared=True_LF=0.99_LR=0.01
139,eval/Mean Reciprocal Rank,0.03764364868402481,shared=True_LF=0.99_LR=0.01
140,eval/Mean Reciprocal Rank,0.03772731125354767,shared=True_LF=0.99_LR=0.01
141,eval/Mean Reciprocal Rank,0.037694115191698074,shared=True_LF=0.99_LR=0.01
142,eval/Mean Reciprocal Rank,0.03777711093425751,shared=True_LF=0.99_LR=0.01
143,eval/Mean Reciprocal Rank,0.03770921379327774,shared=True_LF=0.99_LR=0.01
